Nhận xét,Cảm xúc
Kh vào hc trễ vì đợi thang máy,tốt
quản lí thời gian,tốt
Thuận tiện đi lại,tốt
Thuận lợi về mặc di chuyển,không liên quan 
.,không liên quan 
Không có ý kiến,tốt
Tiết kiệm tg di chuyển,tốt
hoc moi luc,tốt
hoc tien loi,tốt
Hạn chế tiếp xúc mùa dịch,tốt
dễ hiểu được bài,tốt
dễ hiểu bài,tốt
Không có,tốt
Dễ nghe dễ tập trung,tốt
Ko có ,tốt
Dễ lưu trữ,tốt
thuận tiện thời gian,tốt
rất tệ,không liên quan 
bình thường,bình thường
đỡ phải di chuyển,tốt
"Ko mất nhiều thời gian di chuyển, tiết kiệm được thời gian và nhiều chi phí, có thể hỏi và giao lưu thoải mái với giáo viên ko bị ngại so với trên lớp, học cũng dễ hiểu hơn ở trên lớp",rất tốt
chủ động được thời gian,tốt
Tiện lợi,tốt
Được thoải mái,tốt
ok ạ,bình thường 
Không gian thoải mái,tốt
quản lý được thời gian,tốt
"Tiện, dễ trao đổi với giảng viên",tốt
Không,bình thường
hoc di chuyển xe cộ,tốt
cc,không liên quan 
tiết kiệm,tốt
s,không liên quan 
không mất thời gian di chuyển,tốt
Đủ thiết bị sử dụng việc học,tốt
không,không liên quan 
Tiện lợi,tốt
Không cần đến trường,tốt
"quản lý được thời gian,...",tốt
Hạn chế mùa dịch,tốt
Không di chuyển nhiều,tốt
năng lực tjư học ,tốt
không,không liên quan 
Cô thương học trò hơn. Do dịch bệnh không thể đi lại nên gặp được GVHD nhiệt tình như cô rất mừng,tốt
Dễ tiếp thu,tốt
tiết kiệm thời gian,tốt
Không phải vô học trễ vì đợi thang máy ,tốt
kỹ năng sử dụng công nghệ để học tập trực tuyến,tốt
Không mất thời gian đi lại,tốt
Ko có,không liên quan 
Thuận tiện đi lại,tốt
.,không liên quan 
TIẾT KIỆM THỜI GIAN,tốt
không có,bình thường
"sự tập trung, quản lý thời gian",tốt
CÓ,tốt
bình thường,bình thường
an toàn dễ hiểu ,tốt
"năng lực tự học của bản thân như sự tập trung, quản lí thời gian",tốt
thoải mái,tốt
Thời gian,tốt
kh,không liên quan 
Ko,không liên quan 
Không cần phải di chuyển đến trường,tốt
record được bài học,tốt
nhìn rõ bài giảng,tốt
ko mất nhiều thời gian đi lại,tốt
"Lưu được bài giảng, thầy giảng chậm dễ tiếp thu",tốt
thuan tien moi noi,tốt
nhanh gọn,tốt
ko trễ giờ,tốt
"tiết kiệm được thời gian đi lại, an toàn trước đại dịch covid19",tốt
Không,không liên quan 
tiết kiệm thời gian,tốt
"Tiết kiệm thời gian, địa điểm đa dạng",tốt
Không tốn thời gian đi lại ,tốt
Tiện lợi,tốt
không phải di chuyển,tốt
Hạn chế tiếp xúc với người ngoài. ,tốt
"không bị kẹt xe giờ cao điểm, tiết kiệm chi phí, ",tốt
Thoải mái ,tốt
dhdh,không liên quan 
"Tiện lợi, tiết kiệm chi phí, dễ dàng xem lại bài giảng",tốt
Ko,không liên quan 
.,không liên quan 
Không ý kiến ,không liên quan
Tiết kiệm thời gian di chuyển. Tìm kiếm tài liệu tham khảo tốt,tốt 
ko,không liên quan 
"Thoải mái, kh đi trễ ",tốt
Rất dễ hiểu ,tốt
có thể xem lại bài nhiều lần,tốt
ở tại chỗ vẫn học kh mắc công đi lại,tốt
không coa,không liên quan
không phải di chuyển,tốt
tiện lợi,tốt
ok,bình thường
100%,không liên quan
Chủ động về thời gian,tốt
chủ độg được thòi gian,tốt
Không,không liên quan
Tập trung và quản lý được thời gian ,tốt
Dạy dễ hiểu,tốt
Linh hoạt về thời gian và địa điểm học tập,tốt
Không di chuyển,tốt
ít tốn tiền,tốt
!,không liên quan
"Không gian học yên tĩnh ,thoải mái, dễ tập trung",tốt
Không lo sợ việc kẹt xe,tốt
Sắp xếp được thời gian tốt hơn và tiết kiệm thời gian hơn,tốt
Dễ tiếp thu,tốt
không cần phải khó khăn trong việc đi lại,tốt
"Thoải mái,nhà vẫn là nhất",tốt
"Quản lí thời gian , đáp ứng của giản viên , sự tập trung",tốt
"thoải mái hơn, tiết kiệm thời gian đi lại và không xa nhà",tốt
tiện khi hc ở nhà,tốt
-  Linh hoạt về thời gian và địa điểm học tập. Ứng dụng công nghệ hiện đại vào học tập. Tiết kiệm thời gian và chi phí học tập. Linh động và uyển chuyển trong tiếp cận phương pháp học. Hệ thống hóa kiến thức. Cải thiện tính chuyên cần của học sinh,rất tốt
Tiết kiệm thời gian,tốt
Dễ hiểu,tốt
"Thoái mái , chủ động , tiết kiệm chi phí ",tốt
tập trung nghe giảng,tốt
Dễ dàng trong việc di chuyển học tập,tốt
Thời gian,không liên quan
không phải di chuyển,tốt
Thoải mái,tốt
có thể quản lý thời gian học,tốt
Xem lại bài dễ dàng,tốt
"Dễ dàng tìm kiếm thông tin, sắp xếp được thời gian phù hợp",tốt
thời gian ,tốt
tự học cao ,tốt
kỹ năng sử dụng công nghệ để học tập trực tuyến,tốt
Thuận tiện ,tốt
-  Linh hoạt về thời gian và địa điểm học tập. Ứng dụng công nghệ hiện đại vào học tập. Tiết kiệm thời gian và chi phí học tập. Linh động và uyển chuyển trong tiếp cận phương pháp học. Hệ thống hóa kiến thức. Cải thiện tính chuyên cần của học sinh,rất tốt
  Linh hoạt về thời gian và địa điểm học tập. Ứng dụng công nghệ hiện đại vào học tập. Tiết kiệm thời gian và chi phí học tập. Linh động và uyển chuyển trong tiếp cận phương pháp học. Hệ thống hóa kiến thức. Cải thiện tính chuyên cần của học sinh,rất tốt
Linh hoạt thời gian địa điểm học,tốt
Yên tĩnh,tốt
Đỡ run sợ hơn khi trả lời câu hỏi của giáo viên. Tập sự tự tin trước ống kính trước mọi người ,tốt
Có nhiều thời gian,tốt
"không được giao lưu với bạn bè ,Sinh viên không có thời gian để đào tạo trực tuyến",tốt
Giúp được công việc gđ và tác phong cũng dể dàng,tốt
Dạ em không,không liên quan
Tiết kiệm thời gian đi lại,tốt
không bị kẹt xe ,tốt
Không,không liên quan
"- tinh thần học tập tự giác hơn, quản lý thời gian tốt , tập trung hơn.",tốt
Không cần đi xa,tốt
thời gian,tốt
Dễ trao đổi và tương tác với giảng viên,tốt
quản lý thời gian,tốt
Không lo phải đi lại ạ,tốt
"đỡ tốn thời gian di chuyển đến lớp học, sắp xếp thời gian học hợp lí hơn",tốt
Cô thân thiện dễ tiếp thu bài ,tốt
nhanh chóng tìm được tư liệu,tốt
Giáo viên rất nhiệt tình trong việc giảng dạy và truyền đạt kiến thức cho học sinh rất giỏi,tốt
"bố trí thời gian học tập hợp lí, chủ động làm việc",tốt
Tránh được dịch bệnh,tốt
Không phải di chuyển nhiều.,tốt
học tập thoải mái ,tốt
Thoải mái ,tốt
"thoải mái , không bị căng thẳng , không áp lực",tốt
tập trung học quản lý thời gian,tốt
Dễ tương tác,tốt
thoải mái khi ở nhà,tệ
"tiện lợi , tự do , không cần đi lại ",tốt
"Yên tĩnh, không tốn thời gian di chuyển",tốt
"Tránh được ảnh hưởng của dich , có thêm nhiều trải nghiệm mới mẻ",tốt
Không áp lực thời gian,tốt
. TẬP LÀM QUEN TRƯỚC CAMERA ,tốt
Tài liệu đầy đủ,tốt
"Cô giảng dạy dể hiểu, mỗi bài giảng cô đều hỏi ý kiến sinh viên về việc có tiếp thu được kiến thức không, em học tập rất thuận lợi trong môn học.",tốt
"Phát huy năng lực tự học, tập trung, kỹ năng quản lý tg, thuận tiện cho sinh viên.",tốt
Nắm rõ kiến thức,tốt
thời gian học hợp lý,tốt
K cần đi lại nhiều,tốt
"Dễ tiếp thu, dễ tương tác với giáo viên",tốt
Không có ,tốt
dễ tham gia học,tốt
Dễ dàng theo dõi bài giảng ,tốt
"tự do , thoải mái ",tốt
Dễ dàng trao đổi với giảng viên,tốt
không trễ giờ học,tốt
Sinh viên dễ dàng tương tác với giảng viên và đỡ bị ngại hơn,tốt
Tiện lợi ạ,tốt
kỹ năng sử dụng công nghệ để học tập trực tuyến,tốt
" Có thể lên mạng xem nhiều cách làm bài, khi không hiểu bài hỏi không ngại",tốt
Lưu lại được bài giảng,tốt
Ko có,không liên quan
chủ động về thời gian,tốt
được gần gia đình và đỡ tốn chi phí ,tốt
"Ít tốn thời gian, tiền bạc ",tốt
Thoải mái ,tốt
thoải mái và chủ động mọi việc,tốt
Có máy để học ,tốt
- Ít gây tiếng ồn.,tốt
Không áp lực về thời gian tới trường ,tốt
.,không liên quan
thoải mái,tốt
cảm thấy thoải mái khi được học tại nhà của mình,tốt
thoải mái không áp lực,tốt
Nghe giảng bài dễ hơn ạ,tốt
"tìm kiếm thông tin nhanh hơn, điểm danh nhanh hơn",tốt
Quản lí thời gian,tốt
Thiair mái trong việc học ,tốt
"Yên tĩnh , dễ sắp xếp thời gian",tốt
"Cô giảng bài kỹ , tương tác vs HS nhìu",tốt
dễ dàng sắp xếp thời gian,tốt
đỡ mệt khi ko đến trường,tốt
Có laptop và có mạng internet,tốt
vui,tốt
Biết nhiều kiến thức mới,tốt
Dễ đén lớp,tốt
giáo viên nhiệt tình giải đáp ,tốt
Tiết kiệm thời gian và chi phí di chuyển,tốt
Dễ tiếp thu,tốt
Không bị trễ giờ học,tốt
Thuận lợi không lo bị trễ giờ,tốt
Không có,không liên quan
An toàn và thuận tiện trong mùa dịch,tốt
"Trao đổi trực tiếp với giáo viên, quan sát rõ được những kiến thức giảng dạy",tốt
Dễ hiểu bài ,tốt
"Tiết tiệm chi phí, thời gian, có thể xem lại bài giảng nhiều lần",tốt
có thể ghi âm lại bài giảng,tốt
Dễ tiếp thu kiến thức,tốt
tốt,tốt
Thoải mái tự do ,tốt
Học được nhiều điều mới về kinh tế,tốt
Đơn giản nhanh gọn và tiết kiệm nhiều thời gian hơn khi lên trường,tốt
Dạ tham gia học đúng giờ ,tốt
"đường truyền tốt, thiết bị sử dụng trực tuyến đầy đủ",tốt
"dễ dàng hệ thống hóa kiến thức, tiết kiệm thời gian",tốt
thích nghi với cách học mới,tốt
tiện lợi,tốt
an toàn mùa dịch,tốt
"tiện lợi,thoải mái",tốt
Không phải đến trường,tốt
học mọi lúc mọi nơi,tốt
"Mạng ổn định, hiểu bài",tốt
Hay,tốt
Chủ động được thời gian ạ,tốt
"Không cần phải đi đoạn đường xa đến trường, không lo sợ bởi dịch bệnh",tốt
Giảm chi phí đi lại,tốt
"Tiết kiệm thời gian, tiền bạc, thoải mái",tốt
đường truyền internet tốt,tốt
"quản lý thời gian của bản thân tốt hơn, năng lực tự học được nâng cao, kỹ năng sử dụng công nghệ tốt hơn trước",tốt
tốt,tốt
Giáo viên nhiệt tình,tốt
thuận lợi cho mùa dịch khó khăn ,tốt
Phòng tránh covid-19 bảo vệ sức khỏe,tốt
"thiết bị sử dụng học trực tuyến,đáp ứng của giảng viên; giao diện chương trình học",tốt
Không phải đi lại nhiều,tốt
Dễ lấy điểm,tốt
Giãn cách an toàn sức khỏe ,tốt
"Tiếp thu bài nhanh và tốt hơn, được làm quen với việc sử dụng công nghệ để học trực tuyến.",tốt
"Thành thạo dùng word, đánh máy, kiểm tra online, điểm cao",tốt
Không sợ trễ giờ,tốt
"Dễ dàng tham khảo các nguồn thông tin bên ngoài hỗ trợ cho việc học, thoải mái hơn ",tốt
Thoải mái hơn,tốt
dễ hỏi bài thầy/cô,tốt
nâng cao khả năng tự học,tốt
Đường truyền internet ổn định ,tốt
nâng cao việc tự học và quản lý thời gian,tốt
Tiết kiệm thời gian,tốt
không mất tiền tiêu vặt,tốt
Thoải mái,tốt
Có thể tra cứu tài liệu trên mạng ,tốt
dễ hiễu ,tốt
Mạng ổn định,tốt
Học bất cứ đâu,tốt
Dễ làm chủ thời gian,tốt
K có,không liên quan
không mất quá nhiều thời gian di chuyển giữa các khu,tốt
điểm cao,tốt
"bài giảng dễ hiểu,thầy giáo thân thiện, dễ tiếp thu môn học",tốt
Được trao đổi bài khi học. ,tốt
tránh dịch,tốt
có thể xem bài giảng rõ hơn,tốt
"Thuận tiện phân bổ thời gian, không di chuyển",tốt
"Thuận lợi : tập trung hơn,thời gian thoải mái,",tốt
học được nhiều kỹ năng và nhiều kiến thức mới,tốt
Được học ở nhà,tốt
tốt,tốt
Hiểu bài,tốt
thoải mái thời gian ,tốt
Mạng ổn định,tốt
Thời gian học onl khá là thoải mái,tốt
"Không tập trung, dễ sao nhãn",tốt
Trong tình hình dịch bệnh như hiện nay em thấy học online là đảm bảo an toàn và tránh dịch an toàn nhất,tốt
Không có,tốt
giao diện chương trình học,tốt
tốt,tốt
Không,không liên quan
Tìm kiếm tài liệu dễ dàng,tốt
Dễ dàng sắp xếp thời gian,tốt
sắp xếp được thời gian,tốt
Không phải đến trường,tốt
an toàn trong mùa covid,tốt
Tập trung hơn,tốt
không phải leo nhiều tầng,tốt
"Tiện lợi, nhanh chóng ",tốt
dễ nắm bắt được tiến độ của bài giảng,tốt
Không,tốt
Học mọi lúc mọi nơi,tốt
"Đường truyền ổn định, tiếp thu được bài giảng",tốt
ít tốn thời gian di chuyển,tốt
"Thoải mái, tự do",tốt
Được học tại nhà ,tốt
tiết kiệm thời gian đi lại,tốt
"Tiết kiệm thời gian, chi phí đi lại",tốt
có nhiều thời gian làm bìa tập,tốt
Không mất thời gian cho việc di chuyển ,tốt
dễ hiểu bài,tốt
"Những kiến thức được cung cấp rõ ràng, tương tác nhiều giữa giảng viên và học sinh",tốt
Không có,không liên quan
Hoi bn be,bình thường 
Có thời gian nghỉ ngơi ,tốt
Tránh dịch bệnh,tốt
"Tránh được covid, điện thoại máy tính thiết bị hổ trợ học trực tuyển ổn",tốt
Thiếc bị sửa dựng để học,tốt
ổn,bình thường 
thoải mái,tốt
Không cần di chuyển,tốt
"ở nhà, không phair đi xa",tốt
.,không liên quan
Ko có,không liên quan
K tốn tg di chuyển ,tốt
Thoải mái hơn trong việc học,tốt
không,không liên quan
Dễ tìm tài liệu cũng như tra các câu hỏi liên quan đến bài học,tốt
học ở đâu cũng được,tốt
Thoải mái,tốt
"Thiết bị trực tuyến ổn định, có thể quản lý được thời gian học tập, đáp ứng được các yêu cầu của giảng viên, giao diện chương trình học quen thuộc, dễ sử dụng, kỹ năng sử dụng công nghệ để học tập trực tuyến khá tốt",rất tốt
"Cập nhật thông tin nhanh chống, linh hoạt thời gian",tốt
"nâng cao kỹ năng sử dụng công nghệ để học tập, kỹ năng quản lý thời gian tốt hơn",tốt
không có ,tốt
kỹ năng sử dụng công nghệ để học tập trực tuyến,tốt
Thoải mái,tốt
tương tác tốt,tốt
không tới trường,tốt
tiện lợi,tốt
"Nghe rõ giảng viên giảng bài, dễ tập trung, nhìn slide được chiếu rõ hơn ",tốt
chi phí chi tiêu được hạn chế trong mùa dịch bệnh căng thẳng,tốt
Thời gian được sắp xếp ổn thỏa hơn,tốt
"Thoải mái, tự do",tốt
xem lại bài giảng,tốt
"Được học trong môi trường tự do, thoải mái",tốt
Dễ chủ động hơn trong việc học,tốt
Tiện,tốt
Đường truyền tốt,tốt
thú vị,tốt
được ở nhà gần bố mẹ,tốt
Dễ kết nối với giảng viên,tốt
dễ nhìn bài giảng hơn,tốt
Kh tốn tiền trọ,tốt
quản lý thời gian,tốt
Không,không liên quan
 học hiểu rất nhiều,tốt
"Được học hỏi tiếp thu nhiều kiến thức, thầy giảng dạy nhiệt tình, tương tác với sinh viên",tốt
Kh cần phải đến trường,tốt
thoải mái,tốt
Đường truyền internet ổn định ,tốt
chủ động địa điểm,tốt
bình thường ,bình thường
quản lý được thời gian,tốt
không có ,tốt
Đỡ di chuyển xa,tốt
"có tính linh hoạt, giảm chi phí",tốt
thoải mái về thời gian và không gian,tốt
có thể quay video bài giảng để xem lại,tốt
ok,bình thường
môi trường học tập năng động,tốt
có thể quay màn hình và học lại,tốt
khong co,không liên quan
Tập trung và dễ hiểu bài,tốt
nâng cao ý thức tự học,tốt
giáo viên dạy dễ hiểu,tốt
Ko,không liên quan
 tiện cho việc không cần di chuyển đến trường tốn nhiều thời gian ,tốt
K có,không liên quan
Không có ,không liên quan
"Tiện lợi, dễ dàng, dễ sắp xếp công việc, không phải chạy cơ sở",tốt
Gần với giảng viên,tốt
Quản lí thời gian,tốt
"ăng lực tự học của bản thân như sự tập trung, quản lý thời gian",tốt
Có nhiều thời gian,tốt
Dễ đang,không liên quan
đường truyền mạnh,tốt
Không,không liên quan
Thoải mái,tốt
Hiểu bài,tốt
"giảng viên nhiệt tình, dạy dễ hiểu",tốt
Không cần đi lại,tốt
Dễ học đỡ hồi hợp,tốt
Dạ thuận tiện thời gian,tốt
tiết kiệm thời gian,tốt
Không đi học trễ,tốt
có thể xem lại bài,tốt
Không có,không liên quan
tiếp thu bài học dễ dàng ,tốt
Thoải mái,tốt
Ko lây lan bệnh,tốt
Thuận tiện,tốt
Thoải mái,tốt
Có nhiều tài liệu,tốt
"giao diện chương trình học, quản lý thời gian",tốt
Chủ động được thời ,tốt
thoải mái ít di chuyển đi xa,tốt
Quản lý thời gian tốt q,tốt
theo em việc học trực tuyến sẽ an toàn hơn trong thời kì hiện nay,tốt
Giáo viên tận tâm ,tốt
Tạo cảm giác thoải mái,tốt
Dễ tiếp thu và thực hành,tốt
đỡ phải di chuyển,tốt
không,không liên quan
Dễ hiểu,tốt
không cần di chuyển xe cộ,tốt
Tham gia đầy đủ hơn,tốt
Tiện lợi trong di chuyển,tốt
tiếp kiệm được thời gian,tốt
năng lực tự học của bản thân như sự tập trung,tốt
không tiếp xúc với nhiều người,tốt
sắp xếp thời gian ,tốt
Không,không liên quan
"tiện lợi, an toàn chống dịch",tốt
không mất thời gian đi lại,tốt
Tiết kiệm thời gian,tốt
Tiếp thu tốt,tốt
Được thoải mái ở nhà,tốt
Tiện nghi ,tốt
mang manh,tốt
Năng lực tự học,tốt
Giảng viên giảng dạy nhiệt tình và dễ hiểu,tốt
"Thời gian thoải mái, mệt mỏi có thể nghỉ ngơi",tốt
"Tiếp thu bài tốt, thầy giảng tận tình",tốt
thoải mái,tốt
đường mạng tốt,tốt
ít di chuyển,tốt
Được học ở nhà vì từ nhà tới trường rất xa,tốt
"Tránh tiếp xúc với nhiều người, tập trung ",tốt
Thoải mái về thời gian,tốt
 Học mọi nơi ,tốt
Có thể vừa học vừa làm được các công việc tại nhà,tốt
Không,không liên quan
"dễ tập trung, không ồn ào, nghe giảng viên giảng rõ hơn",tốt
đảm bảo sức khoẻ,tốt
Không ý kiến,không liên quan
"Được học tại nhà,không tốn nhiều chi phí",tốt
Dễ lưu và xem lại bài giảng ,tốt
Ko,không liên quan
Dễ học mọi lúc ,bình thường
chống covit,tốt
Tự tin giao tiếp giảng viên,tốt
đường truyền internet tốt và tiếp thu bài hiệu quả,tốt
học cũng bình thường,tốt
Tot,tốt
Không tốn chi phí nhà trọ,tốt
Được thoải mái thời gian,tốt
Ko cần mất nhiều thời gian đi lại ,tốt
"năng lực tự học được tập trung hơn, tiếp thu bài giảng tốt hơn",tốt
dễ dàng trao đổi trực tiếp với gv,tốt
Tự chủ thời giann,tốt
Biết thêm nhiều cách học,tốt
Dễ dàng trong việc hỏi những bài chưa hiểu,tốt
Sắp xếp thời gian dễ dàng,tốt
Không có,không liên quan
Thoải mái ,tốt
"năng lực tự học của bản thân như sự tập trung, quản lý thời gian",tốt
hiểu bài ,tốt
không,không liên quan
không tốn chi phí đi lại và sinh hoạt hằng ngày trong quá trình di chuyển học,tốt
Tiếp thu kiến thức làm bài tập,tốt
Đường truyền ổn định ,tốt
Thoải mái,tốt
Dễ trau dồi kiến thức,tốt
Không phải di chuyển,tốt
dễ quản lý thời gian,tốt
Không có ý kiến gì,không liên quan
Không,không liên quan
Không bị ngại trong việc hỏi những điều mình chưa hiểu ,tốt
"Không ồn ào, dễ tiếp thu bài học ",tốt
Giáo viên giản nhiệt tình,tốt
Kỹ năng sử dụng công nghệ để học tập trực tuyến,tốt
Không ,không liên quan
dc ở nhà,tốt
Được gần gia đình,tốt
"Tiết kiệm chi phí đi lại, học tập bằng một hình thức mới ",tốt
Khong phai di chuyen nhieu,tốt
tiết kiệm được thời gian di chuyển,tốt
Tiếp cận công nghệ tích cực hơn khi học tập,tốt
Không có,không liên quan
Dạ dể hiểu,tốt
không di chuyển nhiều tránh dịch bệnh,tốt
nhanh gọn và thuận tiện ,tốt
không cần di chuyển nhiều ạ,tốt
đỡ ồn ào,tốt
Thoải mái ,tốt
An toàn trong mùa dịch,tốt
Dễ nghe giảng,tốt
Không cần di chuyển,tốt
"Không cần phải di chuyển , nhưng em muốn lên trường",tốt
Phù hợp với tình hình dịch bệnh,tốt
Đỡ phải di chuyển,tốt
Ít tốn thời gian,tốt
Có thể học mọi nơi,tốt
đáp ứng dược giảng viên,tốt
Nâng cao sự tự giác của bản thân,tốt
tiện lợi,tốt
Tự tin hơn,tốt
Vừa học vừa phụ giúp gia đình,tốt
tiếp thu bài tốt,tốt
Thuận lợi mọi tình hình,tốt
Tiện lợi ,tốt
không,không liên quan
"Sự tập trung,thoải mái sáng tạo",tốt
"năng lực tự học của bản thân, sự tập trung, quản lí thời gian",tốt
Thoải mái thời gian,tốt
Được thoải mái học tập,tốt
ko,không liên quan
tốt,tốt
quen với học online ,tốt
Dễ tra cứu tài liệu,tốt
Không cần đi lại,tốt
"Giáo viên nhiệt tình , giảng bài dễ hiểu",tốt
Tương tác với giảng viên nhiều hơn,tốt
kỹ năng sử dụng công nghệ để học tập trực tuyến,tốt
không có,không liên quan
"Sôi động, tích cực , dễ hiểu",tốt
Đường truyền ,tốt
Linh hoạt về thời gian và địa điểm học tập,tốt
Không ý kiến,không liên quan
Thuận tiện ,tốt
đường truyền internet; thiết bị sử dụng học trực tuyến ,tốt
thoải mái,tốt
thầy dạy dễ hiểu học tốt,tốt
tiết kiệm được thời gian,tốt
chủ động,tốt
phu hop tinh hinh,tốt
không phải tới trường,tốt
"thao tác trên gg meetj, gg classroom một cách nhanh chóng,tiện lợi",tốt
Học tốt,tốt
Vui,tốt
giáo viên ân cần,tốt
Dễ quan sát ,tốt
Kiểm soát đc thời gian vsf tiết kiệm được chi phí,tốt
học ổn,tốt
không có,không liên quan
Không,không liên quan
Không cần di chuyển ,tốt
Thoải mái tự tin,tốt
Giảm chi phí sinh hoạt khi xa nhà,tốt
Nhiều quá em kh kể hết dc ạ,bình thường 
môi trường thoải mái thuận tiện,tốt
Có điểm không nợ học phần,tốt
Tạo cảm giác thoải mái cho SV khi học tập tại nhà ,tốt
Dễ hiểu,tốt
có thời gian nghỉ ngơi và ôn luyện,tốt
tốt,tốt
"Không phải bỏ ra thời gian đi lại đến trường, giáo viên dễ tính hơn học offine.",tốt
thời gian học được đảm bảo ,tốt
"Sắp xếp thời gian, yên tĩnh",tốt
tiết kiệm chi phí đi lại,tốt
Không bị phiền,tốt
ko tốn công đi lại,tốt
hiểu bài,tốt
dễ sắp xếp thời gian,tốt
Tập trung được nhiều hơn ,tốt
Giảng viên giúp đỡ sinh viên nhiệt tình bạn bè thân thiện,tốt
được học tập tại nhà,tốt
Tiện,tốt
.,không liên quan
Cô giảng dễ hiểu bài ,tốt
"Tìm kiếm tài liệu, thông tin",tốt
Không,không liên quan
Dễ dàng tìm kiếm tài liệu tham khảo,tốt
không phải di chuyển nhiều ,tốt
"ít di chuyển bằng phương tiện giao thông , quản lí được thời gian",tốt
Dễ hiểu bài,tốt
Vào lớp đúng giờ,tốt
Yên tĩnh tập trung,tốt
Tiết kiệm thời gian,tốt
dễ chống dịch,tốt
thời gian,bình thường
Tiết kiệm chi phí đi lại,tốt
không có ,không liên quan
Đầy đủ thiết bị học tập,tốt
dễ dàng,tốt
Khong,không liên quan
chủ động đươc thời gian học tập,tốt
được ở nhà,tốt
đủ thiết bị ,tốt
có nhiều thời gian học tại nhà,tốt
"Học online dễ hiểu, giảng viên nhiệt tình",tốt
Không,không liên quan
Dễ hiểu ,tốt
tốt,tốt
dễ tra google,tốt
Không,không liên quan
khá thoải mái,tốt
"tiết kiệm thời gian đến trường , hầu như mọi người đều đông đủ học đúng giờ",tốt
Tham gia nhanh chóng,tốt
Linh hoạt về thời gian và địa điểm học tập,tốt
"Đủ thiết bị học tập, quản lý thời gian khá tốt,..",tốt
Tập trung im lặng,tốt
Đầy đủ thiết bị học trực tuyến,tốt
GIÁO VIÊN DẠY TẬN TÌNH,tốt
"thành thạo hơn khi sử dụng công nghệ học tập trực tuyến, rèn luyện cho em năng lực tự học",tốt
học mọi lúc mọi nơi,tốt
"năng lực tự học của bản thân như sự tập trung , quản lý thời gian,...",rất tốt 
Dễ hiểu,tốt
An toàn không sợ bị lây lan dịch bệnh,tốt
học ở tại nhiều nơi,tốt
Học tại nhà,tốt
ko phải di chuyển đến trường ,tốt
thú vị,tốt
Có thể quay lại bài giảng để ôn kỹ hơn,tốt
Dễ học ,tốt
đáp ứng của giảng viên,tốt
Ít đi xe cộ lại,tốt
Ít di chuyển,tốt
"học thoải mái, tránh đucợ dịch bệnh",tốt
Hiểu bài ,tốt
thoải mái,tốt
"Tránh được dịch bệnh, ",tốt
không cần di chuyển ,tốt
máy chạy nhanh ,tốt
tốt,tốt
dễ tiếp thu,tốt
Đỡ tốn chi phí đi lại và trọ ở,tốt
thoải mái hơn ,tốt
hạn chế dịch bệnh,tốt
"an toàn trong tình hình dịch bệnh, không phải di chuyển nhiều.",tốt
"Tiện lợi cho học sinh và sinh viên , sinh hoạt địa điềm , thời gian dạy và học. Tiết kiệm được nhiều chi phí . thuận lợi cho việc tham khảo thêm nhiều kiến thức bên ngoài ",rất tốt
"được tự chủ thời gian , và đỡ 1 phần kinh tế cho gia đình ",tốt
Em dễ dàng sắp xếp được các công việc trong ngày.,tốt
Tot,tốt
tiết kiệm thời gian đến trường,tốt
Thời gian linh hoạt,tốt
giảm bớt áp lực căng thẳng,tốt
thoải mái,tốt
không cần tốn thời gian di chuyển,tốt
Dễ quản lý và sắp xếp thời gian học tập ,tốt
dễ dàng tham gia lớp học,tốt
Xem các thao tác khá ổn.,tốt
Thoải mái,tốt
Linh hoạt thời gian và địa điểm học tập,tốt
Chủ động về mặt thời gian,tốt
được ở  gần gia đình,tốt
"có thể lưu bài giảng nghe lại , tiết kiệm thời gian đi lại tránh trễ cũng như tiết kiệm chi phí đi lại ",rất tốt
Không có ,không liên quan
Thoả mái,tốt
Đỡ thời gian đi lại ,tốt
"nâng cao kỹ năng sử dụng công nghệ để học tập trực tuyến, ",tốt
khong bi rot mang,tốt
Không cần dậy sớm,tốt
thuận tiện về thời gian và địa điểm,tốt
bình thường,bình thường
Không gian thoải mái dễ học,tốt
"ko lo trễ học, tiện cho việc tìm những điểm chưa rõ ngay lập tức.",tốt
không bị trễ học,tốt
"Học dễ hiểu, tự tin hơn trong việc giao tiếp",tốt
Làm chủ thời gian,tốt
chung tay đẩy lùi covid 19,tốt
Dễ tìm kiếm thông tin,tốt
"Đường truyền ổn định, thiết bị tốt",tốt
không phải di chuyển nhiều,tốt
Không mất thời gian di chuyển. Linh hoạt về thời gian và địa điểm học tập. Chi phí học tập thấp. ,tốt
"Dễ hiểu , ôn tập có nhiều thời gian ...",tốt
thoải mái,tốt
hỏi bài bạn được,tốt
"đảm bảo sức khỏe trong mùa dịch, nâng cao sự tập trung",tốt
thuận tiện thời gian,tốt
"khả năng tự học cải thiện, đáp ứng của gv",tốt
thoải mái,tốt
Tiết kiệm được thời gian,tốt
môi trường học thoải mái dễ tiếp thu ,tốt
Đầy đủ thiết bị dụng cụ học,tốt
"Không gian thoải mái,ít áp lực, dễ thích nghi",tốt
thời gian tự chủ,tốt
Thoải mái,tốt
"Thuận lợi cho việc học tập, thuận lợi về thời gian",tốt
tiện di chuyển,tốt
Không mất nhiều thời gian,tốt
An toàn,tốt
Tham khảo nhiều tài liệu hơn ,tốt
